Report Date,Country,Total Cases,Total Deaths,Mortality Rate
2020-01-31,China*,9720.0,,
2020-01-31,Japan,14.0,,
2020-01-31,Republic of Korea,11.0,,
2020-01-31,Viet Nam,5.0,,
2020-01-31,Singapore,13.0,,
2020-01-31,Australia,9.0,,
2020-01-31,Malaysia,8.0,,
2020-01-31,Cambodia,1.0,,
2020-01-31,Philippines,1.0,,
2020-01-31,Thailand,14.0,,
2020-01-31,Nepal,1.0,,
2020-01-31,Sri Lanka,1.0,,
2020-01-31,India,1.0,,
2020-01-31,United States of America,6.0,,
2020-01-31,Canada,3.0,,
2020-01-31,France,6.0,,
2020-01-31,Finland,1.0,,
2020-01-31,Germany,5.0,,
2020-01-31,Italy,2.0,,
2020-01-31,United Arab Emirates,4.0,,
2020-01-31,Total,9826.0,,
2020-02-01,China*,11821.0,,
2020-02-01,Japan,17.0,,
2020-02-01,Republic of Korea,12.0,,
2020-02-01,Viet Nam,6.0,,
2020-02-01,Singapore,16.0,,
2020-02-01,Australia,12.0,,
2020-02-01,Malaysia,8.0,,
2020-02-01,Cambodia,1.0,,
2020-02-01,Philippines,1.0,,
2020-02-01,Thailand,19.0,,
2020-02-01,Nepal,1.0,,
2020-02-01,Sri Lanka,1.0,,
2020-02-01,India,1.0,,
2020-02-01,United States of America,7.0,,
2020-02-01,Canada,4.0,,
2020-02-01,France,6.0,,
2020-02-01,Finland,1.0,,
2020-02-01,Germany,7.0,,
2020-02-01,Italy,2.0,,
2020-02-01,Russian Federation,2.0,,
2020-02-01,Spain,1.0,,
2020-02-01,Sweden,1.0,,
2020-02-01,United Kingdom,2.0,,
2020-02-01,United Arab Emirates,4.0,,
2020-02-01,Total,11953.0,,
2020-02-02,China*,14411.0,,
2020-02-02,Japan,20.0,,
2020-02-02,Republic of Korea,15.0,,
2020-02-02,Viet Nam,7.0,,
2020-02-02,Singapore,18.0,,
2020-02-02,Australia,12.0,,
2020-02-02,Malaysia,8.0,,
2020-02-02,Cambodia,1.0,,
2020-02-02,Philippines,2.0,,
2020-02-02,Thailand,19.0,,
2020-02-02,Nepal,1.0,,
2020-02-02,Sri Lanka,1.0,,
2020-02-02,India,2.0,,
2020-02-02,United States of America,8.0,,
2020-02-02,Canada,4.0,,
2020-02-02,France,6.0,,
2020-02-02,Finland,1.0,,
2020-02-02,Germany,8.0,,
2020-02-02,Italy,2.0,,
2020-02-02,Russian Federation,2.0,,
2020-02-02,Spain,1.0,,
2020-02-02,Sweden,1.0,,
2020-02-02,United Kingdom,2.0,,
2020-02-02,United Arab Emirates,5.0,,
2020-02-02,Total,14557.0,,
2020-02-03,Country/Territory/Area,,,
