Regions,Places reporting cases,Confirmed cases,Deaths,Comments
Asia,China,80134,2914,Including 67103 cases from Hubei povince
Asia,Republic of Korea,4212,22,
Asia,Iran,978,54,
Asia,Japan,254,6,
Asia,Singapore,106,0,
Asia,Bahrain,47,0,
Asia,Kuwait,46,0,
Asia,Thailand,43,1,
Asia,Taiwan,40,1,
Asia,Malaysia,29,0,
Asia,United Arab Emirates,21,0,
Asia,Iraq,19,0,
Asia,Vietnam,16,0,
Asia,Lebanon,10,0,
Asia,Israel,10,0,
Asia,Oman,6,0,
Asia,Pakistan,4,0,
Asia,Qatar,3,0,
Asia,India,3,0,
Asia,Philippines,3,1,
Asia,Indonesia,2,0,
Asia,Nepal,1,0,
Asia,Afghanistan,1,0,
Asia,Cambodia,1,0,
Asia,Sri Lanka,1,0,
Europe,Italy,1689,35,
Europe,France,130,2,
Europe,Germany,129,0,
Europe,Spain,83,0,
Europe,United Kingdom,36,0,
Europe,Switzerland,24,0,
Europe,Norway,19,0,
Europe,Sweden,14,0,
Europe,Austria,14,0,
Europe,Netherlands,13,0,
Europe,San Marino,8,1,
Europe,Greece,7,0,
Europe,Croatia,7,0,
Europe,Finland,6,0,
Europe,Denmark,4,0,
Europe,Iceland,3,0,
Europe,Azerbaijan,3,0,
Europe,Czech Republic,3,0,
Europe,Georgia,3,0,
Europe,Romania,3,0,
Europe,Belgium,2,0,
Europe,Russia,2,0,
Europe,Monaco,1,0,
Europe,Lithuania,1,0,
Europe,Armenia,1,0,
Europe,Ireland,1,0,
Europe,Luxembourg,1,0,
Europe,North Macedonia,1,0,
Europe,Belarus,1,0,
Europe,Estonia,1,0,
Other,Cases on an international conveyance Japan,705,6,
America,United States of America,89,2,
America,Canada,24,0,
America,Ecuador,6,0,
America,Mexico,5,0,
America,Brazil,2,0,
America,Dominican Republic,1,0,
Oceania,Australia,29,1,
Oceania,New Zealand,1,0,
Africa,Algeria,3,0,
Africa,Egypt,2,0,
Africa,Nigeria,1,0,
,Total,89068,3046,
